Aikaleima,Katsojia keskimäärin,Live-katsojat,Uudet seuraajat,Chattaajat,Chattiviestit,Mainoskatkot,Uudet tilaukset,Luotuja leikkeitä,Leikkeen katselukerrat
17.13,0,4,0,3,5,180,0,0,0
17.14,3,1,0,3,7,0,0,0,0
17.15,5,3,0,4,6,0,0,0,0
17.16,5,2,0,5,7,0,0,0,0
17.17,9,0,0,4,13,0,0,0,0
17.18,6,1,0,2,3,0,0,0,0
17.19,5,4,0,2,2,0,0,0,0
17.20,6,1,0,2,3,0,0,0,0
17.21,9,0,0,1,1,0,0,0,0
17.22,6,4,0,7,11,0,0,0,0
17.23,11,1,0,6,9,0,0,0,0
17.24,9,2,0,5,6,0,0,0,0
17.25,11,1,0,5,8,0,0,0,0
17.26,11,4,0,6,11,0,0,0,0
17.27,13,0,0,2,2,0,0,0,0
17.28,11,1,0,7,10,0,0,0,0
17.29,11,0,0,2,2,0,0,0,0
17.30,8,0,0,2,2,0,0,0,0
17.31,11,3,0,2,3,0,0,0,0
17.32,12,1,0,2,2,0,0,0,0
17.33,10,1,0,3,8,0,0,0,0
17.34,10,2,0,3,5,0,0,0,0
17.35,9,1,0,3,4,0,0,0,0
17.36,10,1,0,1,1,0,0,0,0
17.37,11,3,0,3,6,0,0,0,0
17.38,12,3,0,3,3,0,0,0,0
17.39,12,0,0,4,4,0,0,0,0
17.40,11,3,0,2,4,0,0,0,0
17.41,11,1,0,3,3,0,0,0,0
17.42,10,0,0,4,6,0,0,0,0
17.43,8,1,0,2,3,0,0,0,0
17.44,9,0,0,3,4,0,0,0,0
17.45,9,2,0,0,0,0,0,0,0
17.46,23,17,0,4,8,0,0,0,0
17.47,25,2,0,2,4,0,0,0,0
17.48,23,1,0,2,2,0,0,0,0
17.49,23,2,0,3,3,0,0,0,0
17.50,22,2,0,2,2,0,0,0,0
17.51,20,1,0,4,6,0,0,0,0
17.52,19,1,0,2,2,0,0,0,0
17.53,21,3,0,3,3,0,0,0,0
17.54,22,0,0,2,2,0,0,0,0
17.55,23,1,0,1,1,0,0,0,0
17.56,21,1,0,3,3,0,0,0,0
17.57,19,0,0,2,3,0,0,0,0
17.58,19,2,0,2,2,0,0,0,0
17.59,21,2,0,2,5,90,0,0,0
18.00,17,1,0,2,2,0,0,0,0
18.01,17,1,0,5,6,0,0,0,0
18.02,21,2,0,2,2,0,0,0,0
18.03,22,0,0,3,3,0,0,0,0
18.04,24,1,0,2,3,0,0,0,0
18.05,22,1,0,1,1,0,0,0,0
18.06,20,2,0,3,3,0,0,0,0
18.07,21,2,0,3,3,0,0,0,0
18.08,21,0,0,5,9,0,0,0,0
18.09,21,3,0,4,6,0,0,0,0
18.10,24,2,0,3,4,0,0,0,0
18.11,25,4,0,4,5,0,0,0,0
18.12,26,1,0,2,2,0,0,0,0
18.13,22,2,0,1,3,0,0,0,0
18.14,27,1,0,2,3,0,0,0,0
18.15,23,0,0,1,1,0,0,0,0
18.16,17,4,0,0,0,0,0,0,0
18.17,18.5,0,0,0,0,0,0,0,0
18.18,17,0,0,4,4,0,0,0,0
18.19,18,0,0,2,2,0,0,0,0
18.20,16,1,0,1,1,0,0,0,0
18.21,18,6,0,4,4,0,0,0,0
18.22,21,1,0,5,5,0,0,0,0
18.23,21,0,0,0,0,0,0,0,0
18.24,21,0,0,1,1,0,0,0,0
18.25,21,2,0,1,1,0,0,0,0
18.26,20,4,0,6,8,0,0,0,0
18.27,22,6,0,5,8,0,0,0,0
18.28,26,1,0,4,5,0,0,0,0
18.29,25,1,0,1,3,0,0,0,0
18.30,25,1,0,3,5,0,0,0,0
18.31,25,0,0,3,5,0,0,0,0
18.32,20,0,0,4,4,0,0,0,0
18.33,19,3,0,4,9,0,0,0,0
18.34,23,0,1,4,6,0,0,0,0
18.35,21,2,0,5,6,0,0,0,0
18.36,23,1,0,3,3,0,0,0,0
18.37,21,1,0,2,3,0,0,0,0
18.38,21,4,0,0,0,0,0,0,0
18.39,24,1,0,2,2,0,0,0,0
18.40,22,2,0,2,2,0,0,0,0
18.41,23,1,0,3,3,0,0,0,0
18.42,21,1,0,2,2,0,0,0,0
18.43,22,2,0,3,3,0,0,0,0
18.44,22,0,0,4,5,90,0,0,0
18.45,18,5,0,1,2,0,0,0,0
18.46,20,1,0,4,5,0,0,0,0
18.47,24,0,0,1,3,0,0,0,0
18.48,24,5,0,2,2,0,0,0,0
18.49,25,4,0,5,14,0,0,0,0
18.50,30,0,0,2,2,0,0,0,0
18.51,25,3,0,3,3,0,0,0,0
18.52,26,2,0,6,8,0,0,0,0
18.53,26,0,0,6,7,0,0,0,0
18.54,24,1,0,4,4,0,0,0,0
18.55,24,0,0,1,1,0,0,0,0
18.56,24,0,0,2,2,0,0,0,0
18.57,23,3,0,3,4,0,0,0,0
18.58,23,1,0,0,0,0,0,0,0
18.59,25,1,0,4,5,0,0,0,0
19.00,21,0,0,4,7,0,0,0,0
19.01,22,0,0,2,2,0,0,0,0
19.02,20,1,0,3,7,0,0,0,0
19.03,18,0,0,2,3,0,0,0,0
19.04,21,0,0,3,6,0,0,0,0
19.05,15,1,1,0,0,0,0,0,0
19.06,19,0,0,2,2,0,0,0,0
19.07,19,1,0,3,3,0,0,0,0
19.08,19,0,0,3,5,0,0,0,0
19.09,17,1,0,4,4,0,0,0,0
19.10,18,1,0,2,2,0,0,0,0
19.11,19,0,0,1,1,0,0,0,0
19.12,14,1,0,1,1,0,0,0,0
19.13,18,1,0,1,1,0,0,0,0
19.14,18,2,0,0,0,0,0,0,0
19.15,16,1,0,0,0,0,0,0,0
19.16,16,3,0,4,10,0,0,0,0
19.17,0,2,0,1,1,0,0,0,0
19.18,0,0,0,0,0,0,0,0,0
19.19,0,0,0,0,0,0,0,0,0
