Aikaleima,Katsojia keskimäärin,Live-katsojat,Uudet seuraajat,Chattaajat,Chattiviestit,Mainoskatkot,Uudet tilaukset,Luotuja leikkeitä,Leikkeen katselukerrat
17.03,1,0,0,0,0,180,0,0,0
17.04,1,3,0,1,1,0,0,0,0
17.05,5,2,0,3,7,0,0,0,0
17.06,4,0,0,0,0,0,0,0,0
17.07,3,3,0,2,3,0,0,0,0
17.08,6,4,0,2,4,0,0,0,0
17.09,7,1,0,3,4,0,0,0,0
17.10,8,3,0,2,5,0,0,0,0
17.11,7,2,0,2,2,0,0,0,0
17.12,9,1,0,0,0,0,0,0,0
17.13,7,1,0,2,3,0,0,0,0
17.14,8,2,0,0,0,0,0,0,0
17.15,9,0,0,1,1,0,0,0,0
17.16,9,4,0,2,2,0,0,0,0
17.17,14,3,0,2,3,0,0,0,0
17.18,8,1,0,1,2,0,0,0,0
17.19,8,3,0,1,2,0,0,0,0
17.20,12,0,0,1,3,0,1,0,0
17.21,12,1,0,1,2,0,0,0,0
17.22,13,0,0,0,0,0,0,0,0
17.23,13,5,0,1,1,0,0,0,0
17.24,16,0,0,2,4,0,0,0,0
17.25,13,2,0,3,3,0,0,0,0
17.26,13,2,0,3,4,0,0,0,0
17.27,15,0,0,6,11,0,0,0,0
17.28,12,3,0,6,8,0,0,0,0
17.29,15,0,0,3,5,0,0,0,0
17.30,15,1,0,4,5,0,0,0,0
17.31,17,0,0,3,3,0,0,0,0
17.32,15,2,0,1,3,0,0,0,0
17.33,15,0,0,2,2,0,0,0,0
17.34,16,1,0,2,2,0,0,0,0
17.35,14,2,0,3,3,0,0,0,0
17.36,16,3,0,5,7,0,0,0,0
17.37,21,2,0,2,4,0,0,0,0
17.38,18,0,0,2,2,0,0,0,0
17.39,17,4,0,1,2,0,0,0,0
17.40,18,0,0,1,1,0,0,0,0
17.41,19,2,0,1,1,0,0,0,0
17.42,17,2,0,4,4,0,0,0,0
17.43,17,0,0,3,3,0,0,0,0
17.44,17,0,0,6,6,0,0,0,0
17.45,17,1,0,1,1,0,0,0,0
17.46,19,2,0,1,2,0,0,0,0
17.47,19,0,0,0,0,0,0,0,0
17.48,16,3,0,1,1,0,0,0,0
17.49,19,0,0,2,2,0,0,0,0
17.50,19,2,0,1,2,0,0,0,0
17.51,18,1,0,0,0,0,0,0,0
17.52,14,1,0,2,2,0,0,0,0
17.53,15,0,0,2,3,0,0,0,0
17.54,15,0,0,1,1,0,0,0,0
17.55,15,4,0,0,0,0,0,0,0
17.56,17,1,0,1,1,0,0,0,0
17.57,18,3,0,1,2,0,0,0,0
17.58,18,0,0,0,0,0,0,0,0
17.59,16,1,0,1,1,0,0,0,0
18.00,16,1,0,1,1,0,0,0,0
18.01,15,0,0,0,0,90,0,0,0
18.02,17,2,0,0,0,0,0,0,0
18.03,18,2,0,1,1,0,0,0,0
18.04,17,4,0,0,0,0,0,0,0
18.05,16,0,0,2,4,0,0,0,0
18.06,15,1,0,1,1,0,0,0,0
18.07,15,3,0,1,2,0,0,0,0
18.08,17,1,0,2,3,0,0,0,0
18.09,15,0,0,0,0,0,0,0,0
18.10,14,1,0,1,1,0,0,0,0
18.11,15,1,0,2,3,0,0,0,0
18.12,15,1,0,0,0,0,0,0,0
18.13,15,2,0,1,1,0,0,0,0
18.14,17,3,0,1,2,0,0,0,0
18.15,22,3,0,2,2,0,0,0,0
18.16,18,2,0,2,2,0,0,0,0
18.17,18,0,0,2,2,0,0,0,0
18.18,15,1,0,0,0,0,0,0,0
18.19,17,0,0,0,0,0,0,0,0
18.20,16,0,0,3,3,0,0,0,0
18.21,16,0,0,0,0,0,0,0,0
18.22,15,1,0,2,2,0,0,0,0
18.23,17,3,0,4,4,0,0,0,0
